,0,1,2,3,4,5,6
0,C:\Users\abhinav.m\Desktop\IMG\center_2021_04_24_20_59_35_345.jpg, C:\Users\abhinav.m\Desktop\IMG\left_2021_04_24_20_59_35_345.jpg, C:\Users\abhinav.m\Desktop\IMG\right_2021_04_24_20_59_35_345.jpg,0.0,0.0,0.0,20.24505
1,C:\Users\abhinav.m\Desktop\IMG\center_2021_04_24_21_08_21_231.jpg, C:\Users\abhinav.m\Desktop\IMG\left_2021_04_24_21_08_21_231.jpg, C:\Users\abhinav.m\Desktop\IMG\right_2021_04_24_21_08_21_231.jpg,0.0,0.0,0.0,14.36772
2,C:\Users\abhinav.m\Desktop\IMG\center_2021_04_24_20_57_57_669.jpg, C:\Users\abhinav.m\Desktop\IMG\left_2021_04_24_20_57_57_669.jpg, C:\Users\abhinav.m\Desktop\IMG\right_2021_04_24_20_57_57_669.jpg,0.0,0.0,0.0,17.9638
3,C:\Users\abhinav.m\Desktop\IMG\center_2021_04_24_21_07_20_628.jpg, C:\Users\abhinav.m\Desktop\IMG\left_2021_04_24_21_07_20_628.jpg, C:\Users\abhinav.m\Desktop\IMG\right_2021_04_24_21_07_20_628.jpg,0.0,0.0,0.0,21.07735
4,C:\Users\abhinav.m\Desktop\IMG\center_2021_04_24_20_58_53_374.jpg, C:\Users\abhinav.m\Desktop\IMG\left_2021_04_24_20_58_53_374.jpg, C:\Users\abhinav.m\Desktop\IMG\right_2021_04_24_20_58_53_374.jpg,0.0,1.0,0.0,27.21831
5,C:\Users\abhinav.m\Desktop\IMG\center_2021_04_24_21_06_05_007.jpg, C:\Users\abhinav.m\Desktop\IMG\left_2021_04_24_21_06_05_007.jpg, C:\Users\abhinav.m\Desktop\IMG\right_2021_04_24_21_06_05_007.jpg,0.0,1.0,0.0,30.19024
6,C:\Users\abhinav.m\Desktop\IMG\center_2021_04_24_21_08_53_967.jpg, C:\Users\abhinav.m\Desktop\IMG\left_2021_04_24_21_08_53_967.jpg, C:\Users\abhinav.m\Desktop\IMG\right_2021_04_24_21_08_53_967.jpg,0.0,0.0,0.0,26.86019
7,C:\Users\abhinav.m\Desktop\IMG\center_2021_04_24_20_57_24_607.jpg, C:\Users\abhinav.m\Desktop\IMG\left_2021_04_24_20_57_24_607.jpg, C:\Users\abhinav.m\Desktop\IMG\right_2021_04_24_20_57_24_607.jpg,0.0,0.0,0.0,23.63575
8,C:\Users\abhinav.m\Desktop\IMG\center_2021_04_24_21_05_29_040.jpg, C:\Users\abhinav.m\Desktop\IMG\left_2021_04_24_21_05_29_040.jpg, C:\Users\abhinav.m\Desktop\IMG\right_2021_04_24_21_05_29_040.jpg,0.0,0.4245531,0.0,13.97376
9,C:\Users\abhinav.m\Desktop\IMG\center_2021_04_24_21_08_48_108.jpg, C:\Users\abhinav.m\Desktop\IMG\left_2021_04_24_21_08_48_108.jpg, C:\Users\abhinav.m\Desktop\IMG\right_2021_04_24_21_08_48_108.jpg,0.0,0.0,0.0,15.17713
